order_item_id,order_id,sku,product_name,category,quantity,unit_price
1,3919,OFF-6691,Whiteboard,Office,3,64.67
2,465,HOM-7065,Wall Clock,Home,1,21.31
3,1418,HOM-5232,Candle Set,Home,3,38.21
4,238,HOM-3159,Wall Clock,Home,1,105.84
5,3756,ELE-1268,Power Bank,Electronics,1,138.33
6,1339,KIT-5795,Cutting Board,Kitchen,1,75.3
7,3600,KIT-5242,Mixing Bowls,Kitchen,2,106.99
8,833,OUT-6261,Hiking Poles,Outdoors,3,82.74
9,4922,HOM-1819,Wall Clock,Home,1,124.08
10,1863,OFF-3524,Ergo Mouse,Office,3,92.85
11,1216,APP-2050,Canvas Tote,Apparel,1,64.94
12,329,OFF-7312,Standing Mat,Office,1,104.67
13,2087,OFF-5053,Desk Organizer,Office,1,121.77
14,3698,OFF-4052,Notebook Set,Office,1,22.46
15,387,ELE-8502,Power Bank,Electronics,5,14.67
16,2840,KIT-7814,Spice Rack,Kitchen,3,142.91
17,410,KIT-8445,Chef Knife,Kitchen,3,164.91
18,3971,APP-4695,Crew Socks 3-Pack,Apparel,2,71.5
19,4815,OFF-5125,Whiteboard,Office,2,39.6
20,2608,KIT-9093,Chef Knife,Kitchen,1,39.11
21,4033,OUT-5092,Trail Backpack,Outdoors,1,90.15
22,1340,ELE-5739,Bluetooth Speaker,Electronics,1,27.67
23,1444,OUT-5270,Trail Backpack,Outdoors,2,125.22
24,1576,HOM-9840,Throw Blanket,Home,3,44.02
25,2375,APP-8255,Rain Jacket,Apparel,3,159.52
26,2497,OFF-9177,Whiteboard,Office,2,113.15
27,2709,ELE-8612,Bluetooth Speaker,Electronics,1,37.41
28,3066,OFF-9314,Ergo Mouse,Office,2,20.05
29,2566,HOM-9140,Storage Bin,Home,1,135.45
30,1489,OUT-4427,Hiking Poles,Outdoors,1,167.6
31,2594,OUT-5391,Insulated Bottle,Outdoors,1,175.58
32,3885,APP-3621,Zip Hoodie,Apparel,4,110.79
33,144,OUT-7543,Camp Chair,Outdoors,1,22.31
34,4953,HOM-7043,Throw Blanket,Home,2,176.71
35,1237,OFF-2917,Standing Mat,Office,1,176.09
36,3363,HOM-3484,Throw Blanket,Home,2,64.78
37,4765,OUT-8141,Insulated Bottle,Outdoors,1,129.3
38,1263,KIT-3823,Mixing Bowls,Kitchen,3,139.25
39,1474,ELE-7176,Webcam HD,Electronics,1,128.36
40,4214,ELE-6564,Power Bank,Electronics,1,44.46
41,877,HOM-1662,Candle Set,Home,1,112.01
42,1839,KIT-2052,Cutting Board,Kitchen,3,22.31
43,1244,ELE-2249,USB-C Hub,Electronics,1,61.17
44,923,KIT-9819,French Press,Kitchen,1,86.68
45,3418,OFF-7577,Ergo Mouse,Office,1,8.53
46,4775,ELE-6352,Power Bank,Electronics,1,105.3
47,3191,APP-3188,Rain Jacket,Apparel,3,130.28
48,349,OUT-9232,Insulated Bottle,Outdoors,4,98.09
49,4297,OUT-6139,Insulated Bottle,Outdoors,2,148.99
50,3177,KIT-5616,Mixing Bowls,Kitchen,4,80.06
51,2547,KIT-8132,Chef Knife,Kitchen,2,46.83
52,1477,ELE-3308,Power Bank,Electronics,2,86.8
53,1187,HOM-4167,Throw Blanket,Home,1,62.92
54,524,ELE-3672,Bluetooth Speaker,Electronics,2,104.33
55,924,APP-9373,Baseball Cap,Apparel,4,111.0
56,917,ELE-8315,Webcam HD,Electronics,1,146.13
57,4818,OFF-5549,Whiteboard,Office,2,103.4
58,1318,OFF-2816,Desk Organizer,Office,2,10.63
59,1797,OUT-7714,Hiking Poles,Outdoors,1,132.93
60,1378,KIT-2022,Chef Knife,Kitchen,1,178.32
61,1322,OFF-4168,Standing Mat,Office,2,41.5
62,790,ELE-1760,Bluetooth Speaker,Electronics,1,39.83
63,2002,OFF-1031,Desk Organizer,Office,4,108.22
