order_id,customer_id,order_date,status,channel
1,344,2026-01-17,delivered,web
2,214,2026-01-31,placed,web
3,387,2026-04-07,delivered,mobile
4,154,2026-07-03,placed,web
5,30,2026-04-19,delivered,web
6,272,2025-09-12,delivered,web
7,170,2026-06-02,placed,web
8,190,2025-08-22,delivered,mobile
9,27,2025-11-20,delivered,mobile
10,21,2025-08-12,shipped,mobile
11,371,2026-06-14,delivered,web
12,446,2025-12-23,shipped,partner
13,109,2025-10-11,cancelled,web
14,387,2026-03-08,cancelled,mobile
15,361,2025-10-18,delivered,web
16,165,2025-11-27,delivered,web
17,184,2025-12-10,shipped,web
18,255,2026-03-01,placed,partner
19,241,2025-12-16,cancelled,web
20,212,2025-07-29,delivered,web
21,75,2025-07-14,shipped,partner
22,297,2026-02-04,shipped,web
23,118,2026-01-16,delivered,web
24,282,2026-06-06,cancelled,web
25,391,2026-03-13,cancelled,mobile
26,252,2026-02-26,shipped,mobile
27,87,2025-09-15,delivered,web
28,470,2026-04-09,cancelled,partner
29,269,2025-07-23,delivered,web
30,419,2026-06-13,placed,web
31,71,2026-05-24,shipped,mobile
32,5,2025-10-25,delivered,web
33,317,2026-05-28,delivered,mobile
34,248,2026-06-08,delivered,web
35,283,2026-02-01,placed,web
36,141,2026-04-06,cancelled,web
37,417,2026-06-28,delivered,mobile
38,466,2025-10-05,placed,web
39,77,2025-11-06,shipped,web
40,418,2026-01-03,shipped,web
41,192,2026-01-29,delivered,web
42,357,2025-10-29,shipped,mobile
43,42,2026-06-05,cancelled,mobile
44,17,2025-08-22,delivered,web
45,244,2025-08-03,delivered,mobile
46,43,2026-03-18,delivered,mobile
47,170,2026-04-21,cancelled,partner
48,459,2026-04-02,cancelled,web
49,462,2026-06-25,delivered,web
50,24,2025-08-13,delivered,web
51,279,2026-04-20,delivered,web
52,436,2025-12-14,placed,web
53,74,2026-07-05,delivered,partner
54,154,2025-09-27,delivered,mobile
55,435,2026-01-21,delivered,web
56,197,2025-09-15,delivered,mobile
57,41,2026-03-19,delivered,web
58,51,2026-02-14,shipped,web
59,310,2026-05-16,cancelled,web
60,397,2025-12-20,placed,web
61,231,2026-03-14,shipped,mobile
62,193,2026-02-12,shipped,mobile
63,195,2025-08-18,delivered,web
64,127,2026-07-06,placed,web
65,195,2026-07-05,delivered,web
66,200,2025-12-15,delivered,web
67,483,2025-12-10,delivered,mobile
68,53,2025-09-11,placed,web
69,286,2026-04-16,delivered,web
70,46,2026-01-03,delivered,mobile
71,402,2025-12-19,delivered,web
72,212,2026-01-20,delivered,mobile
73,287,2025-11-07,delivered,web
74,195,2025-09-30,placed,web
75,253,2025-09-18,placed,web
76,216,2025-12-06,delivered,web
77,129,2025-11-09,delivered,web
78,316,2025-10-14,delivered,web
79,4,2026-01-24,shipped,mobile
80,412,2025-12-21,delivered,web
81,422,2026-06-04,cancelled,web
82,165,2026-05-10,cancelled,web
83,161,2025-10-04,cancelled,partner
84,150,2026-06-26,delivered,partner
85,401,2025-11-07,shipped,web
86,403,2026-01-23,delivered,partner
87,103,2026-05-05,cancelled,web
88,394,2026-04-13,placed,mobile
89,483,2026-07-03,shipped,mobile
90,426,2026-06-25,placed,mobile
91,408,2026-01-31,delivered,web
92,156,2025-11-06,shipped,web
93,217,2026-01-15,placed,partner
94,246,2026-04-30,delivered,web
95,472,2026-06-25,delivered,web
96,496,2026-01-06,delivered,mobile
97,305,2026-05-28,cancelled,web
98,128,2026-06-07,delivered,web
99,314,2025-07-28,delivered,mobile
100,332,2026-01-26,cancelled,web
101,408,2026-02-11,placed,web
102,114,2026-03-24,delivered,mobile
103,353,2026-04-26,shipped,web
104,238,2026-06-18,delivered,web
105,177,2025-07-18,delivered,web
106,472,2025-08-18,placed,partner
107,73,2025-12-31,shipped,web
108,106,2026-03-29,delivered,web
109,225,2026-06-27,delivered,web
110,23,2026-07-04,placed,mobile
111,332,2025-08-30,delivered,web
112,380,2025-11-07,delivered,mobile
113,170,2026-04-18,delivered,web
114,409,2026-01-29,delivered,web
115,337,2026-02-12,delivered,mobile
116,453,2025-10-15,delivered,web
117,3,2026-07-01,shipped,web
118,361,2025-08-07,delivered,mobile
119,275,2025-10-09,delivered,web
120,59,2025-11-17,delivered,web
121,495,2026-05-29,shipped,web
122,201,2026-05-02,placed,web
123,235,2026-05-18,shipped,mobile
124,410,2025-12-05,cancelled,mobile
125,345,2025-09-12,shipped,web
126,60,2025-10-07,delivered,web
127,199,2026-02-05,delivered,mobile
128,217,2025-10-09,delivered,web
129,471,2026-06-01,cancelled,web
130,86,2026-03-13,shipped,web
131,432,2026-02-21,delivered,partner
132,488,2025-07-10,delivered,web
133,197,2026-04-19,delivered,web
134,351,2026-03-14,delivered,mobile
135,251,2025-09-29,placed,web
136,390,2025-10-26,shipped,web
137,276,2025-11-30,shipped,web
138,381,2026-03-16,delivered,web
139,59,2025-11-20,delivered,mobile
140,188,2026-04-09,delivered,web
141,369,2026-02-16,delivered,partner
142,53,2026-06-05,delivered,web
143,17,2026-02-21,shipped,partner
144,45,2026-02-15,delivered,web
145,416,2025-11-04,shipped,mobile
146,353,2026-01-01,delivered,mobile
147,220,2025-09-28,delivered,mobile
148,417,2025-10-19,delivered,mobile
149,273,2025-11-26,delivered,web
150,361,2025-12-02,shipped,web
151,440,2026-03-26,cancelled,mobile
152,49,2025-09-13,cancelled,mobile
